State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean,NDVI_Mean,Weather_Temp
Haryana,Sonipat,Ganaur,Spinach,Spinach,FAQ,14/08/2025,1800.0,2000.0,1800.0,28.9953758,77.0233627,,,0.697,18.224999999999998
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,14/08/2025,4000.0,5000.0,4500.0,28.9953758,77.0233627,,,0.567,18.224999999999998
Haryana,Yamuna Nagar,Sadhaura,Bitter gourd,Bitter Gourd,FAQ,14/08/2025,1000.0,2500.0,2000.0,30.1389108,77.301064,,,0.375,19.0
Haryana,Yamuna Nagar,Sadhaura,Onion,Onion,FAQ,14/08/2025,1700.0,1900.0,1800.0,30.1389108,77.301064,,,0.466,19.0
Haryana,Yamuna Nagar,Sadhaura,Potato,Other,FAQ,14/08/2025,700.0,1200.0,800.0,30.1389108,77.301064,,,0.518,19.0
Himachal Pradesh,Bilaspur,Bilaspur,Bottle gourd,Other,FAQ,14/08/2025,2000.0,3000.0,2500.0,31.3380959,76.7611631,,,0.411,19.033333333333335
Himachal Pradesh,Bilaspur,Bilaspur,Cucumbar(Kheera),Other,FAQ,14/08/2025,2000.0,3500.0,2500.0,31.3380959,76.7611631,,,0.401,19.033333333333335
Himachal Pradesh,Bilaspur,Bilaspur,Papaya,Other,Small,14/08/2025,4000.0,4500.0,4200.0,31.3380959,76.7611631,,,0.58,19.033333333333335
Himachal Pradesh,Bilaspur,Bilaspur,Pomegranate,Other,Small,14/08/2025,9000.0,18000.0,12000.0,31.3380959,76.7611631,,,0.548,19.033333333333335
Himachal Pradesh,Chamba,Chamba,Capsicum,Other,FAQ,14/08/2025,5000.0,5500.0,5250.0,32.6923316,76.1631552,,,0.591,5.158333333333333
Himachal Pradesh,Chamba,Chamba,Onion,Other,FAQ,14/08/2025,2300.0,2500.0,2400.0,32.6923316,76.1631552,,,0.357,5.158333333333333
Himachal Pradesh,Kangra,Dharamshala,Banana,Other,Medium,14/08/2025,4500.0,5000.0,4750.0,32.0768665,76.2985872,,,0.573,16.379166666666666
Himachal Pradesh,Kangra,Dharamshala,Pomegranate,Other,Large,14/08/2025,11500.0,12000.0,11750.0,32.0768665,76.2985872,,,0.365,16.379166666666666
Himachal Pradesh,Kangra,Kangra,Carrot,Other,FAQ,14/08/2025,2300.0,2500.0,2400.0,32.0768665,76.2985872,,,0.576,16.379166666666666
Himachal Pradesh,Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,14/08/2025,2500.0,2800.0,2700.0,32.0768665,76.2985872,,,0.62,16.379166666666666
Himachal Pradesh,Kangra,Kangra,Pomegranate,Other,Medium,14/08/2025,10000.0,12000.0,11000.0,32.0768665,76.2985872,,,0.674,16.379166666666666
Himachal Pradesh,Kangra,Kangra,Sponge gourd,Other,FAQ,14/08/2025,3200.0,3500.0,3300.0,32.0768665,76.2985872,,,0.445,16.379166666666666
Himachal Pradesh,Kangra,Kangra(Baijnath),Apple,Apple,Small,14/08/2025,2500.0,3500.0,3000.0,32.0768665,76.2985872,,,0.655,16.379166666666666
Himachal Pradesh,Kangra,Kangra(Baijnath),Raddish,Other,FAQ,14/08/2025,2500.0,2700.0,2600.0,32.0768665,76.2985872,,,0.527,16.379166666666666
Himachal Pradesh,Kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,14/08/2025,5500.0,6000.0,5600.0,32.0768665,76.2985872,,,0.475,16.379166666666666
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Cucumbar(Kheera),Cucumbar,FAQ,14/08/2025,2400.0,2800.0,2500.0,32.0768665,76.2985872,,,0.609,16.379166666666666
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Onion,Other,FAQ,14/08/2025,2000.0,2400.0,2200.0,32.0768665,76.2985872,,,0.651,16.379166666666666
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pear(Marasebu),Other,Medium,14/08/2025,4000.0,5000.0,4500.0,32.0768665,76.2985872,,,0.398,
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Tomato,Deshi,FAQ,14/08/2025,4000.0,5400.0,4800.0,32.0768665,76.2985872,,,0.385,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Bitter gourd,Other,FAQ,14/08/2025,3800.0,4000.0,3900.0,32.0768665,76.2985872,,,0.649,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Brinjal,Brinjal,FAQ,14/08/2025,2500.0,3000.0,2700.0,32.0768665,76.2985872,,,0.469,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,14/08/2025,2800.0,3000.0,2900.0,32.0768665,76.2985872,,,0.505,16.379166666666666
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),Other,FAQ,14/08/2025,6000.0,7000.0,6500.0,32.0768665,76.2985872,,,0.636,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Guava,Other,Medium,14/08/2025,6800.0,7000.0,6900.0,32.0768665,76.2985872,,,0.506,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Potato,Other,FAQ,14/08/2025,1500.0,2600.0,2200.0,32.0768665,76.2985872,,,0.558,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,FAQ,14/08/2025,1800.0,2000.0,1900.0,32.0768665,76.2985872,,,0.585,16.379166666666666
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,FAQ,14/08/2025,3500.0,4000.0,3700.0,32.0768665,76.2985872,,,0.608,16.379166666666666
